Node;Category;Type;IsMandatory;PossibleValues
/;Group;;TRUE;
/Conventions;Attribute;string;TRUE;ODIM_H5/V2_1
/what;Group;;TRUE;
/what/object;Attribute;string;TRUE;PVOL
/what/version;Attribute;string;TRUE;H5rad 2.1
/what/date;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/what/time;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/what/source;Attribute;string;TRUE;.*WMO:[0-9]{5}([0-9]{2})?.*
/where;Group;;TRUE;
/where/lon;Attribute;real;TRUE;
/where/lat;Attribute;real;TRUE;
/where/height;Attribute;real;TRUE;
.*how;Group;;TRUE;
.*how/beamwidth;Attribute;real;TRUE;
.*how/NEZH;Attribute;real;TRUE;
.*how/pulsewidth;Attribute;real;TRUE;
.*how/radconstH;Attribute;real;TRUE;
.*how/radconstV;Attribute;real;TRUE;
.*how/NI;Attribute;real;FALSE;
.*how/rpm;Attribute;real;TRUE;
/dataset[1-9][0-9]*;Group;;TRUE;
/dataset[1-9][0-9]*/what;Group;;TRUE;
/dataset[1-9][0-9]*/what/product;Attribute;string;TRUE;
/dataset[1-9][0-9]*/what/startdate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/dataset[1-9][0-9]*/what/starttime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/dataset[1-9][0-9]*/what/enddate;Attribute;string;TRUE;[1-2][0-9]{3}[0-1][0-9][0-3][0-9]
/dataset[1-9][0-9]*/what/endtime;Attribute;string;TRUE;[0-2][0-9][0-5][0-9][0-5][0-9]
/dataset[1-9][0-9]*/where;Group;;TRUE;
/dataset[1-9][0-9]*/where/elangle;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/a1gate;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/where/nbins;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/where/rstart;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/rscale;Attribute;real;TRUE;
/dataset[1-9][0-9]*/where/nrays;Attribute;integer;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*;Group;;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what;Group;;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/quantity;Attribute;string;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/gain;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/offset;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/nodata;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/what/undetect;Attribute;real;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/data;Dataset;;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/data/CLASS;Attribute;string;TRUE;
/dataset[1-9][0-9]*/data[1-9][0-9]*/data/IMAGE_VERSION;Attribute;string;TRUE;
